chr	start	stop	transcript_id	gene_name	gene_id	pfam_exons	pfam_id	info	transcript_num	total_exons	exon_size	avg_exon_size	total_nucleotides	proportion_total	total_transcript_num	transcript_proportion	x_axis	hotspot_3d_exon_num	hotspot_exon_num	gc_content
1	3	41224069	41224081	ENST00000349496 | ENST00000450969 | ENST00000405570 | ENST00000433400 | ENST00000396183 | ENST00000396185 | ENST00000431914 | ENST00000441708	CTNNB1	ENSG00000168036	0	NA	3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o | 3:41224069-41224081 - o	8	14	13	167.36	2343	1.41517126411094	9	0.888888888888889	CTNNB1 (n = 14 exons; avg = 167.36)	0	2	0.461538461538462
2	3	41224526	41224753	ENST00000349496 | ENST00000450969 | ENST00000405570 | ENST00000433400 | ENST00000396183 | ENST00000396185 | ENST00000431914 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	0	NA	3:41224526-41224753 - o | 3:41224526-41224753 - o | 3:41224526-41224753 - o | 3:41224526-41224753 - o | 3:41224526-41224753 - o | 3:41224526-41224753 - o | 3:41224526-41224753 - o | 3:41224526-41224753 - o | 3:41224534-41224753 - s4	9	14	228	167.36	2343	1.41517126411094	9	1	CTNNB1 (n = 14 exons; avg = 167.36)	0	74	0.495614035087719
3	3	41224954	41225207	ENST00000349496 | ENST00000450969 | ENST00000405570 | ENST00000433400 | ENST00000396183 | ENST00000396185 | ENST00000431914 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	0	NA	3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o | 3:41224954-41225207 - o	9	14	254	167.36	2343	1.41517126411094	9	1	CTNNB1 (n = 14 exons; avg = 167.36)	0	27	0.456692913385827
4	3	41225334	41225572	ENST00000349496 | ENST00000450969 | ENST00000405570 | ENST00000433400 | ENST00000396183 | ENST00000396185 | ENST00000431914 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	1	PF00514	3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o | 3:41225334-41225572 - o	9	14	239	167.36	2343	1.41517126411094	9	1	CTNNB1 (n = 14 exons; avg = 167.36)	0	17	0.472803347280335
5	3	41225660	41225861	ENST00000349496 | ENST00000450969 | ENST00000405570 | ENST00000433400 | ENST00000396183 | ENST00000396185 | ENST00000431914 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	1	PF00514	3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o | 3:41225660-41225861 - o	9	14	202	167.36	2343	1.41517126411094	9	1	CTNNB1 (n = 14 exons; avg = 167.36)	0	14	0.400990099009901
6	3	41227208	41227352	ENST00000349496 | ENST00000450969 | ENST00000405570 | ENST00000433400 | ENST00000396183 | ENST00000396185 | ENST00000431914 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	1	PF00514	3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o | 3:41227208-41227352 - o	9	14	145	167.36	2343	1.41517126411094	9	1	CTNNB1 (n = 14 exons; avg = 167.36)	0	22	0.441379310344828
7	3	41233341	41233444	ENST00000349496 | ENST00000450969 | ENST00000405570 | ENST00000433400 | ENST00000396183 | ENST00000396185 | ENST00000431914 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	1	PF00514	3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o | 3:41233341-41233444 - o	9	14	104	167.36	2343	1.41517126411094	9	1	CTNNB1 (n = 14 exons; avg = 167.36)	0	15	0.442307692307692
8	3	41233529	41233867	ENST00000349496 | ENST00000450969 | ENST00000405570 | ENST00000433400 | ENST00000396183 | ENST00000396185 | ENST00000431914 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	1	PF00514	3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o | 3:41233529-41233867 - o	9	14	339	167.36	2343	1.41517126411094	9	1	CTNNB1 (n = 14 exons; avg = 167.36)	0	34	0.495575221238938
9	3	41234139	41234297	ENST00000349496 | ENST00000450969 | ENST00000405570 | ENST00000433400 | ENST00000396183 | ENST00000396185 | ENST00000431914 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	0	NA	3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o | 3:41234139-41234297 - o	9	14	159	167.36	2343	1.41517126411094	9	1	CTNNB1 (n = 14 exons; avg = 167.36)	0	15	0.522012578616352
10	3	41235724	41235843	ENST00000349496 | ENST00000450969 | ENST00000405570 | ENST00000433400 | ENST00000396183 | ENST00000396185 | ENST00000431914 | ENST00000441708 | ENST00000453024	CTNNB1	ENSG00000168036	1	PF00514	3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o | 3:41235724-41235843 - o	9	14	120	167.36	2343	1.41517126411094	9	1	CTNNB1 (n = 14 exons; avg = 167.36)	0	19	0.475
